兄弟 | 还不认亲 | Racism | hate [END]
广黑吧 | 没了吗 | non-hate | non-hate [END]
你 | 是不是在造谣 | non-hate | non-hate [END]
男权 | 是男女平权 | Sexism | hate [END]
这 | 很niggeг | Racism | hate [END]
你 | 是在追求男女平等 | non-hate | non-hate [END]
你 | 别以为中国人会吃政治正确那一套 | others | hate [END]
中国人 | 为啥要吹黑人性能力 | Racism | hate [END]
田楠 | 就是骗婚骗炮的 | Sexism | hate [END]
这个视频 | 比较恶臭 | others | hate [END]
这位答主 | 按你的说法答主也该滚出中国，笑死我了🤣 | non-hate | non-hate [END]
异性恋 | 看法也是理解＋不接受 | LGBTQ | hate [END]
广东 | 常常刮台风，下大雨，最多也只是水浸街 | Region | hate [END]
女拳 | 甚至会和女拳站一边吗？ | Sexism | hate [END]
法国 | 也完蛋了 | Racism | hate [END]
带头的 | 恰烂钱的 | Sexism | hate [SEP] 跟风的 | 铁nt | Sexism | hate [END]
她 | 越相信黑人的社会文化。这简直是养虎为患。 | Region | hate [END]
日本 | 低欲望是因为自身人民变得太懒了，男的喜欢纸片人，女的只喜欢嫁给有钱人 | Racism | hate [END]
它 | 建议网络安全举报网址举报它送它上西天，另外它的资料在刘奚贝吧全都有，大伙多去看看 | others | hate [END]
混血儿 | 出不出科学家诺贝尔奖人物跟环境有关 | non-hate | non-hate [END]
吧主 | 别犯贱乱删 | others | hate [END]
你 | 这个南满 | Region | hate [END]
既得利益者 | 指责被剥削者了 | others | hate [END]
湖北和陕西 | 嘴里说什么我都不稀奇 | Region | hate [END]
女性 | 有时候想想人性真的贱，有一天男性真的变成女性的奴隶了，估计也没女性会真正喜欢男性，就是这么矛盾 | Sexism | hate [END]
美国 | 汉一点的电影或者影视作品，就会被打压，吴京拍战狼二的时候没有资本敢给他融资，当他取得票房第一之后，也没有人敢祝贺，这里面没有鬼，谁信啊，其实解决这个问题很简单，只要把所有东西都给下架就行，但国家什么都敢整治，就是不整治这个，有时候想整治一下，又被骂回来了，不得不承认，文化渗入这方面，美国做的很成功，中国的青少年基本上都对那些所谓的明星很崇拜，天天把自己打扮的阴柔的要死，不知道怎么办？再这么下去，我们的下一代怎么办？ | Region | hate [END]
钓鱼佬 | 永不空军😜 | non-hate | non-hate [END]
亚非拉 | 不要说我无情 | Region | hate [END]
地域黑 | 没新疆吗😅😅 | Region | hate [END]
东北人 | 反驳力度差 | Region | hate [END]
友军 | 没有加狗头，厚葬 | non-hate | non-hate [END]
西戎 北狄 南蛮 东夷 | 没一个是好听的 | Region | hate [END]
老一辈 | 大多数情况都是母亲做家务收拾，但是这不适用新一代年轻人 | non-hate | non-hate [END]
智商 | 是硬伤啊 | others | hate [END]
我 | 就是詹姆斯的球迷 | non-hate | non-hate [END]
钕全 | 造词骂男性倒是一大堆以后统一用这个如何 | Sexism | hate [END]
這邊 | 對她們家族男性進行清算以證明勇氣 | Sexism | hate [END]
杨笠们 | 嘴里的普却信❤️❤️❤️ | Sexism | hate [END]
器质性变化 | 不好恢复 | non-hate | non-hate [END]
尼 | 说真艾可以永远~，一起去有尼的地方~ | Sexism, Racism | hate [END]
白左笑说吧 | 要殖民我们，少跟他们来往 | others | hate [END]
你 | 一到非洲直接就qj，把你搞怀孕，你也拿他没办法啊！ | Sexism,Region | hate [END]
南方人 | 从我们河南逃过去，这叫保存实力 | non-hate | non-hate [SEP] 东北 | 不抵抗，就是没有血性 | Region | hate [END]
身边的人 | 被默默默默三通过，弄不好还有艾滋，整个人都不好了！ | others | hate [END]
我 | 好喜欢广c人说话 | non-hate | non-hate [END]
王者荣耀 | 要做的速速，在大厅发消息，一个人，一分钟3条，10分钟30一小时180条！每条0.2，时薪36！！不限量，而且发出去就算进扣扣群 | non-hate | non-hate [END]
新疆人 | 被歧视 | Region | hate [END]
你 | 都这么黑了，继续背锅吧。时间久了大家都让你背锅，你再也反抗不了了，久而久之外界认为你就是坏蛋远离你 | others | hate [END]
我们 | 分不太清黑人白人的样貌，甚至觉得黑人严重不符合我的审美 | Region | hate [END]
他们 | 没有智商 | others | hate [END]
我 | 在中资建筑工程公司，然后在非洲前后待过12年。 | non-hate | non-hate [END]
我 | 是来加入你们的惹 | non-hate | non-hate [END]
他 | 物种歧视 | Racism | hate [END]
中国 | 又不是男人的中国 | Sexism | hate  [END]
中国14亿人 | 总得有点奇葩。 | others | hate [END]
你 | 在东北😄 | non-hate | non-hate [END]
你 | 是gay | LGBTQ | hate [END]
黑种人 | 智商 | Sexism | hate [SEP] 黄种人 | 体格 | Sexism | hate [END]
前妻 | 再婚了，再生小孩就不会对孩子好了，不如dao了这个老娘们和她父母，一命抵三命值得了，看来是城市人，城市80.90后基本都没兄弟姐妹，然后她家财产都是自己孩子的了，孩子由爷爷奶奶带大，将来也不会对爷爷奶奶无情。 | others | hate [END]
拿刀的女人 | 比强壮的空手男人战斗力高 | non-hate | non-hate [END]
他 | 是矮姿患者 | others | hate [END]
大家 | 没有办法完全对取向这种东西有清晰认知的时候，走老的路子是最好的解决办法。不反对已经是最好的态度了 | LGBTQ | hate [END]
他 | 是矮姿患者 | others | hate [END]
同性恋和异性恋 | 都是真爱 | non-hate | non-hate [END]
河南人 | 就是不太平 | Region | hate [END]
接盘侠 | 优秀 | Sexism | hate [END]
你们 | 都去s | others | hate [END]
基佬 | N待小动物 | LGBTQ | hate [END]
以下 | 是网址 | non-hate | non-hate [END]
我 | 咱们国人在非洲也没少玩黑女，这些中国女孩找黑人都是自愿的。这些女孩追求爱情也好追求感官刺激也罢，客观上都安慰了黑人，黑人受到慰籍就不会伤害其他女孩。对这些女孩应该宣传的是如何防护艾滋病，高校艾滋病增长过猛有黑人的功劳。潜伏期6-8年，病毒携带者根本查不出来，所以有些有过黑人男友的中国女性传染给了中国丈夫和他们的孩子。所以个人认为女孩找不找黑人不值得讨论，艾滋病防护才是该让其知晓的 | Sexism,Racism | hate [END]
上海本地那男的 | 真心不行，沪圈这几年上海本地演员能拿的出手的就一孙俪马伊琍胡歌，王自健和金星在上海台节目很火，硬是被曹可凡这个上海土著在背后搞事挤兑走了。 | Region | hate [SEP] 曹 | 上海上戏这几年出来的牛逼点的演员基本都是我们东北的占一大半，上海本地那男的真心不行，沪圈这几年上海本地演员能拿的出手的就一孙俪马伊琍胡歌，王自健和金星在上海台节目很火，硬是被曹可凡这个上海土著在背后搞事挤兑走了 | Region | hate [END]
中国 | 中国又不是男人的中国，所以谁有那个资格，要人家出去呢？你谁呀？ | Sexism | hate [END]
南美棉花 | 小黑马 | Racism | hate [END]
外娶 | 多好 | Sexism | hate [END]
理客中 | 是这样的 | non-hate | non-hate [END]
回族 | 在中文网络上名声不太好 | Racism | hate [END]
黑人 | 智慧低下，学不会那些东西，所以会让那个发明慢慢的消失，最后过回原始人的生活，跟动物一样，寿命将活不过40岁，而地球就会回复过来，变成大山大河空气清晰，然后会诞生一种全新的物种，来统治世界，这就是下一个文明时代。 | Racism | hate [END]
东北人 | 的性格加持 估计以后长期霸榜了 | Region | hate [END]
你 | 搁这发鬼图呢？ | others | hate [END]
黑龙江人 | 还歧视辽宁吉林人 | Region | hate [END]
老黑 | 刚从树上下来没几天，要不是跟人类没有生殖隔离，都可以定义为类人猿?咱们可是正宗智人，和欧美人种一样，基因里都是有尼安德特人的基因，杂交出来的所以及其聪敏，老黑就不一样了，基因跟咱就不是一个色?你非得嫁给动物，那也没办法? | Racism | hate [END]
北方 | 在古代都南迁了 | Region | hate [END]
黑人 | 画在择偶范围内 | Racism | hate [END]
哪里 | 都有不错的人 | non-hate | non-hate [END]
你 | 把自己放在弱势群体一栏 | others | hate [END]
他们 | 就是一群闲人，长舌妇一般喜欢指手画脚别人的人生 | Sexism | hate  [END]
东北话 | 去上海工作吧 | Region | hate [END]
黑人妹子 | 做女朋友 | Racism | hate [END]
泥革 | 能算是人？ | Racism | hate [END]
河南小姑娘 | 极度自律 | non-hate | non-hate [SEP] 河南 | 学习好的人真的多 | non-hate | non-hate [END]
尼葛 | 能发这评论 | Racism | hate [END]
你 | 白天接完富婆，晚上还要给中年男老板解闷，真担心你身体吃不消。 | Sexism | hate [END]
这 | 多麻烦……把处女改成必需 | Sexism | hate [END]
你 | 把西安放哪了😅 | non-hate | non-hate [END]
黑人 | 这不光是黑人的问题，哪怕是白人也不行，甚至，哪怕同样是黄种人，别的国家的也不行。你中国人不找，找个日本人韩国人，我也是膈应的。 | Region | hate [END]
当年老人们 | 教诲不要找南方矮矬子，外地土老帽一样，都是经验的传承 | Region | hate [END]
这种 | 你能忍就忍呗，放我身上开始都不会有 | non-hate | non-hate  [END]
天津 | 以北，就是冀东辽西了 | non-hate | non-hate [END]
她们 | 去别的国家，不要在中国，华夏的土地不能被墨污染 | Racism | hate [END]
你 | 攻击他们去啊，怎么就非得加上一个全部的形容词呢？ | others | hate [END]
你 | 放在春秋战国时期也算是混血了 | non-hate | non-hate [END]
黑人 | 越多反而排名下降了 | Racism | hate [END]
中国 | 重返世界第一得地位 | non-hate | non-hate [END]
氙钕 | 怕事情败露自己删了 | Sexism | hate [END]
黑人 | 占领中国全靠生 | Racism | hate [END]
nv拳 | 最大的敌人是亲子鉴定，是基因技术，建议打拳的认准敌人 | Sexism | hate [END]
女拳、媚外的 | 占了绝大多数🤣 | Sexism | hate [END]
大胸妹 | 精神茶党 | Sexism | hate [END]
猩猩 | 交配有什么稀奇的 | non-hate | non-hate [END]
你 | 为什么要管白人的感受呢 | Racism | hate [END]
女的 | 反正现在女的很娇贵大家都知道就算有人揭破也会被女的集群群殴很危险的！！！ | Sexism | hate [END]
你 | 一看就是江苏的 | non-hate | non-hate [END]
大哥 | 就几个辽宁人这样说话你就当成所有辽宁人都这样了？ | non-hate | non-hate [SEP] 南方人 | 对东北人的歧视是根深蒂固的 | Racism | hate [END]
默囧 | 视频里还不是同一个 | Racism | hate [END]
混血 | 眼睛是蓝色，混了白皮猪的血 | Racism | hate [END]
问题 | 不是爱不爱的问题是干净与否的问题 | Racism | hate [END]
东北人 | 默不作声 | non-hate | non-hate [END]
黑蛆 | 想想都后怕，幸亏当年放弃去飞州发展，没有迈出意识层，了解黑蛆事关生死！ | Racism | hate [END]
有些女的 | 就喜欢玩新鲜感，认为外国男比郭楠好，墨人有劲还带艾滋，没办法部分女人喜欢😅😅 | Racism | hate [SEP] 墨人 | 有些女的就喜欢玩新鲜感，认为外国男比郭楠好，墨人有劲还带艾滋，没办法部分女人喜欢😅😅 | Sexism | hate [END]
北方人 | 被南方人叫侉子 | Region | hate [END]
找人接盘 | 恶心人 | Racism | hate [END]
母狗 | 什么事做不出来 | Sexism | hate [END]
PUA | 贬低你说你一文不值达到从精神上控制你的作用 | Sexism | hate [END]
四川的 | 我爸在广州被四川的骗过钱，在列车被人偷了钱，逮到后也是四川的😅，在深圳我妈要生我时，我爸抱着我妈去医院，在路上被一个四川的抢了包😅我爸现在提到四川的都是一股气 | Region | hate [END]
舔狗龟男 | 十分固执 | Sexism | hate [END]
法国 | 每年60%的新生儿是非婚生子女，爱情观家庭观跟国内差别较大，涉外婚姻还是要多想一想 | Region | hate [END]
